Units used: mm,,,,,
,,,,,
Designator,Center-X(mm),Center-Y(mm),Rotation,Footprint,Layer
L2_Negative DC-DC2,38.6046,32.487,180,IHLP2020BZER100M01,Top
L2_Negative DC-DC1,68.4496,32.868,180,IHLP2020BZER100M01,Top
C160_Negative DC-DC2,21.5866,24.613,270,NIC-CAPA2-6.3X5.8_V,Top
C160_Negative DC-DC1,50.6696,24.834,270,NIC-CAPA2-6.3X5.8_V,Top
U26_Negative DC-DC2,32.4038,29.689,360,QFN50P500X400X80-29N,Top
U26_Negative DC-DC1,61.1066,29.7364,360,QFN50P500X400X80-29N,Top
R65,13.8396,10.516,180,2512_R,Top
R64,5.8386,10.516,180,2512_R,Top
R63_Negative DC-DC2,30.2546,11.2182,180,0805_RC,Top
R63_Negative DC-DC1,59.3536,11.405,180,0805_RC,Top
R62_Negative DC-DC2,26.5556,20.4892,90,0805_RC,Top
R62_Negative DC-DC1,55.6546,20.676,90,0805_RC,Top
R44_Negative DC-DC2,30.2226,16.5522,180,0805_RC,Top
R44_Negative DC-DC1,59.3216,16.739,180,0805_RC,Top
R43_Negative DC-DC2,13.8626,71.73,360,2512_R,Top
R43_Negative DC-DC1,45.8206,71.73,360,2512_R,Top
R42_Negative DC-DC2,17.3956,41.227,90,2512_R,Top
R42_Negative DC-DC1,49.0186,41.862,90,2512_R,Top
R39_Negative DC-DC2,13.8396,75.921,180,2512_R,Top
R39_Negative DC-DC1,45.8206,76.048,180,2512_R,Top
C149,12.6966,15.723,360,Tantalum_2917,Top
C146,12.6966,26.391,360,Tantalum_2917,Top
C145,12.6966,21.057,360,Tantalum_2917,Top
C144_Negative DC-DC2,30.2386,13.8852,360,0805_RC,Top
C144_Negative DC-DC1,59.3376,14.072,360,0805_RC,Top
C143_Negative DC-DC2,30.2386,19.2192,360,0805_RC,Top
C143_Negative DC-DC1,59.3376,19.406,360,0805_RC,Top
C142_Negative DC-DC2,30.2226,21.8862,360,0805_RC,Top
C142_Negative DC-DC1,59.3216,22.073,360,0805_RC,Top
C141_Negative DC-DC2,22.6698,32.233,270,0805_RC,Top
C141_Negative DC-DC1,51.6266,32.2804,270,0805_RC,Top
C140_Negative DC-DC2,28.0038,32.217,270,0805_RC,Top
C140_Negative DC-DC1,56.9606,32.2644,270,0805_RC,Top
C139_Negative DC-DC2,25.3368,32.217,270,0805_RC,Top
C139_Negative DC-DC1,54.2936,32.2644,270,0805_RC,Top
C138_Negative DC-DC2,38.6046,28.423,360,0805_RC,Top
C138_Negative DC-DC1,68.4496,28.804,360,0805_RC,Top
C137_Negative DC-DC2,20.0028,32.233,270,0805_RC,Top
C137_Negative DC-DC1,48.9596,32.2804,270,0805_RC,Top
C136_Negative DC-DC2,13.9666,53.442,180,Tantalum_2917,Top
C136_Negative DC-DC1,45.7166,53.823,180,Tantalum_2917,Top
C135_Negative DC-DC2,16.6336,62.189,90,0805_RC,Top
C135_Negative DC-DC1,48.2566,62.094,90,0805_RC,Top
C134_Negative DC-DC2,30.2226,8.5512,360,0805_RC,Top
C134_Negative DC-DC1,59.3216,8.738,360,0805_RC,Top
C133_Negative DC-DC2,30.0956,62.332,180,EEVFK1V152M,Top
C133_Negative DC-DC1,61.8456,62.713,180,EEVFK1V152M,Top
C132_Negative DC-DC2,14.0936,81.128,180,Tantalum_2917,Top
C132_Negative DC-DC1,45.9706,81.128,180,Tantalum_2917,Top
C131_Negative DC-DC2,17.3358,32.217,270,0805_RC,Top
C131_Negative DC-DC1,46.2926,32.2644,270,0805_RC,Top
C130_Negative DC-DC2,14.6688,32.233,270,0805_RC,Top
C130_Negative DC-DC1,43.6256,32.2804,270,0805_RC,Top
C98_Negative DC-DC2,30.0686,80.239,180,EEVFK1V152M,Top
C98_Negative DC-DC1,61.8456,80.62,180,EEVFK1V152M,Top
C97_Negative DC-DC2,30.0956,44.425,180,EEVFK1V152M,Top
C97_Negative DC-DC1,61.8456,44.806,180,EEVFK1V152M,Top
